Date,Open,High,Low,Close,Adj Close,Volume
11/9/90,1378.900024,1389,1375.300049,1387.099976,1387.099976,0
11/12/90,1388.099976,1408.099976,1388.099976,1407.5,1407.5,0
11/13/90,1412.199951,1429.400024,1411.400024,1415.199951,1415.199951,0
11/14/90,1413.599976,1413.599976,1402.099976,1410.300049,1410.300049,0
11/15/90,1410.599976,1416.699951,1405.099976,1405.699951,1405.699951,0
11/16/90,1405.699951,1407.400024,1389.400024,1395.199951,1395.199951,0
11/19/90,1395.599976,1417.900024,1395.599976,1416,1416,0
11/20/90,1414.800049,1415,1404.699951,1405.800049,1405.800049,0
11/21/90,1405.599976,1405.599976,1396.699951,1398.400024,1398.400024,0
11/22/90,1400,1401.400024,1384.5,1388.800049,1388.800049,0
11/23/90,1387.199951,1387.400024,1379.400024,1385.599976,1385.599976,0
11/26/90,1385,1385,1348.099976,1353.699951,1353.699951,0
11/27/90,1353.699951,1357.800049,1349,1357.099976,1357.099976,0
11/28/90,1355.5,1370,1341.900024,1366.599976,1366.599976,0
11/29/90,1366.599976,1374,1361.599976,1368.300049,1368.300049,0
11/30/90,1367.599976,1385.099976,1364.199951,1384.900024,1384.900024,0
12/3/90,1389,1412.5,1389,1409.400024,1409.400024,0
12/4/90,1407.5,1410.400024,1398,1403.099976,1403.099976,0
12/5/90,1404.699951,1419.900024,1390.400024,1411.400024,1411.400024,0
12/6/90,1414.599976,1454.300049,1414.099976,1450.300049,1450.300049,0
12/7/90,1450.699951,1451.599976,1436.900024,1444.5,1444.5,0
12/10/90,1444.5,1459.199951,1426.199951,1426.199951,1426.199951,0
12/11/90,1425.400024,1425.400024,1411.300049,1413.900024,1413.900024,0
12/12/90,1414.699951,1423.699951,1412.900024,1419.900024,1419.900024,0
12/13/90,1421.099976,1428.5,1414.800049,1417,1417,0
12/14/90,1415.800049,1415.800049,1404.699951,1407.599976,1407.599976,0
12/17/90,1407.599976,1407.599976,1383.400024,1388.400024,1388.400024,0
12/18/90,1388.5,1394.599976,1387.800049,1393.400024,1393.400024,0
12/19/90,1393.900024,1400.400024,1378.099976,1386.699951,1386.699951,0
12/20/90,1385.5,1385.5,1364.5,1371.199951,1371.199951,0
12/21/90,1370.800049,1389.699951,1366,1387.900024,1387.900024,0
12/24/90,1386.300049,1388.699951,1382.5,1387.400024,1387.400024,0
12/25/90,NA,NA,NA,NA,NA,NA
12/26/90,NA,NA,NA,NA,NA,NA
12/27/90,1387.800049,1388.800049,1378.5,1384,1384,0
12/28/90,1384.400024,1384.800049,1378.5,1383.099976,1383.099976,0
12/31/90,NA,NA,NA,NA,NA,NA
1/1/91,NA,NA,NA,NA,NA,NA
1/2/91,NA,NA,NA,NA,NA,NA
1/3/91,1380.699951,1383.199951,1361.800049,1372.099976,1372.099976,0
1/4/91,1372.099976,1375.900024,1366.599976,1371.699951,1371.699951,0
1/7/91,1368.800049,1369.199951,1338.300049,1340.300049,1340.300049,0
1/8/91,1338.599976,1338.599976,1323.699951,1326.400024,1326.400024,0
1/9/91,1326.400024,1350.699951,1326.400024,1349.900024,1349.900024,0
1/10/91,1346.300049,1346.300049,1325.900024,1331.5,1331.5,0
1/11/91,1331.599976,1348.599976,1320.099976,1320.900024,1320.900024,0
1/14/91,1317.400024,1317.400024,1279,1287.599976,1287.599976,0
1/15/91,1288.699951,1296.699951,1281.5,1296.699951,1296.699951,0
1/16/91,1296.599976,1296.599976,1283.300049,1289.400024,1289.400024,0
1/17/91,1290.800049,1370.5,1290.800049,1363.400024,1363.400024,0
1/18/91,1363.900024,1363.900024,1346.300049,1354,1354,0
1/21/91,1352.199951,1352.199951,1330.099976,1331.099976,1331.099976,0
1/22/91,1329.900024,1340.300049,1321,1336.800049,1336.800049,0
1/23/91,1337.699951,1350.599976,1336.900024,1350,1350,0
1/24/91,1352,1387.800049,1352,1387.800049,1387.800049,0
1/25/91,1387.900024,1403.099976,1387.900024,1400.599976,1400.599976,0
1/28/91,1399.400024,1413.900024,1391.699951,1413.900024,1413.900024,0
1/29/91,1412.699951,1438.199951,1410.599976,1412.199951,1412.199951,0
1/30/91,1413.599976,1441.5,1413.400024,1438.599976,1438.599976,0
1/31/91,1442.5,1451.199951,1417.699951,1434.300049,1434.300049,0
2/1/91,1434.699951,1453.199951,1428.699951,1448.099976,1448.099976,0
2/4/91,1447.800049,1468.599976,1447.099976,1462.900024,1462.900024,0
2/5/91,1466.300049,1479,1463.400024,1472.5,1472.5,0
2/6/91,1471.400024,1472.599976,1448.5,1455.099976,1455.099976,0
2/7/91,1457.199951,1464.300049,1453.199951,1463.300049,1463.300049,0
2/8/91,1463.300049,1479.400024,1459.099976,1477.900024,1477.900024,0
2/11/91,1481,1516.800049,1477,1515.699951,1515.699951,0
2/12/91,1517.5,1538.300049,1505.5,1515.099976,1515.099976,0
2/13/91,1513.900024,1542,1505.099976,1540,1540,0
2/14/91,1541.599976,1555.199951,1534.5,1537.199951,1537.199951,0
2/15/91,1536.900024,1572.199951,1536.900024,1558.900024,1558.900024,0
2/18/91,1559.5,1584.699951,1559.5,1579.900024,1579.900024,0
2/19/91,1581.099976,1594.599976,1568.099976,1574,1574,0
2/20/91,1572.300049,1572.300049,1535.400024,1537.599976,1537.599976,0
2/21/91,1537,1560.599976,1537,1560.599976,1560.599976,0
2/22/91,1560.199951,1574.699951,1555.099976,1571.699951,1571.699951,0
2/25/91,1572.099976,1607.5,1572.099976,1603.199951,1603.199951,0
2/26/91,1601.400024,1601.400024,1571.699951,1576.599976,1576.599976,0
2/27/91,1576.199951,1599.599976,1551.5,1589.5,1589.5,0
2/28/91,1589.900024,1604.5,1568,1578.699951,1578.699951,0
3/1/91,1577.599976,1577.599976,1553.099976,1559,1559,0
3/4/91,1559,1581.199951,1558.199951,1580.599976,1580.599976,0
3/5/91,1581.300049,1592.800049,1579.099976,1592,1592,0
3/6/91,1593.900024,1629.900024,1593.400024,1625,1625,0
3/7/91,1623.300049,1625.699951,1612.199951,1623.5,1623.5,0
3/8/91,1622.900024,1646.199951,1621.599976,1643.199951,1643.199951,0
3/11/91,1641.099976,1641.099976,1613.199951,1622,1622,0
3/12/91,1620.199951,1621.800049,1610.099976,1616.800049,1616.800049,0
3/13/91,1616.699951,1617.199951,1588.599976,1591.699951,1591.699951,0
3/14/91,1594.400024,1632.699951,1594.400024,1632.599976,1632.599976,0
3/15/91,1632.800049,1645.400024,1624.099976,1629.300049,1629.300049,0
3/18/91,1628.900024,1630.199951,1609.5,1610.599976,1610.599976,0
3/19/91,1610.400024,1610.400024,1585.5,1586.699951,1586.699951,0
3/20/91,1586.099976,1586.400024,1567.599976,1577.300049,1577.300049,0
3/21/91,1577.800049,1604.599976,1577.800049,1599.800049,1599.800049,0
3/22/91,1599.800049,1621.699951,1588.5,1611,1611,0
3/25/91,1611.199951,1622.900024,1611.199951,1615.699951,1615.699951,0
3/26/91,1614.199951,1616.900024,1603.900024,1613.599976,1613.599976,0
3/27/91,1615.900024,1653.900024,1615.900024,1650.599976,1650.599976,0
3/28/91,1650.900024,1660.300049,1645.400024,1649.400024,1649.400024,0
3/29/91,NA,NA,NA,NA,NA,NA
4/1/91,NA,NA,NA,NA,NA,NA
4/2/91,1648.199951,1656.300049,1645,1653.099976,1653.099976,0
4/3/91,1653.599976,1678,1653.599976,1677.300049,1677.300049,0
4/4/91,1677.5,1688.900024,1675.5,1676.900024,1676.900024,0
4/5/91,1677.099976,1691.800049,1677.099976,1690.300049,1690.300049,0
4/8/91,1690,1693.900024,1679.900024,1693.900024,1693.900024,0
4/9/91,1694.300049,1709.599976,1690.800049,1695,1695,0
4/10/91,1694.900024,1697.800049,1667.300049,1671.099976,1671.099976,0
4/11/91,1671.199951,1674.5,1661.599976,1673.599976,1673.599976,0
4/12/91,1674.800049,1691.5,1674.800049,1688.699951,1688.699951,0
4/15/91,1688.099976,1696.900024,1688.099976,1695.400024,1695.400024,0
4/16/91,1695.599976,1695.699951,1662.800049,1665.300049,1665.300049,0
4/17/91,1665.5,1685.199951,1665.5,1683.400024,1683.400024,0
4/18/91,1683.900024,1692.5,1670,1676.5,1676.5,0
4/19/91,1675.300049,1683.699951,1661.099976,1678.300049,1678.300049,0
4/22/91,1678.599976,1678.599976,1651.5,1656.099976,1656.099976,0
4/23/91,1656.199951,1677,1656.199951,1675,1675,0
4/24/91,1675.900024,1686.099976,1670.300049,1670.599976,1670.599976,0
4/25/91,1670.699951,1670.800049,1662,1662.699951,1662.699951,0
4/26/91,1662.199951,1668.5,1655.199951,1662.599976,1662.599976,0
4/29/91,1660.800049,1671.400024,1659.699951,1669.699951,1669.699951,0
4/30/91,1668.199951,1668.199951,1650.099976,1659.5,1659.5,0
5/1/91,NA,NA,NA,NA,NA,NA
5/2/91,1659.800049,1680.800049,1659.300049,1677.199951,1677.199951,0
5/3/91,1677.400024,1680.199951,1660.800049,1664.199951,1664.199951,0
5/6/91,1663.300049,1664.300049,1649.300049,1657.300049,1657.300049,0
5/7/91,1659.099976,1670.400024,1659.099976,1665.800049,1665.800049,0
5/8/91,1664.599976,1664.599976,1644.800049,1645.800049,1645.800049,0
5/9/91,NA,NA,NA,NA,NA,NA
5/10/91,1646.199951,1664.800049,1646.199951,1661.900024,1661.900024,0
5/13/91,1661.800049,1661.800049,1647.800049,1654.300049,1654.300049,0
5/14/91,1654.900024,1668.099976,1652.800049,1653.300049,1653.300049,0
5/15/91,1653.099976,1653.099976,1641.5,1647.800049,1647.800049,0
5/16/91,1647.300049,1656.699951,1646.400024,1654.800049,1654.800049,0
5/17/91,1655.400024,1663.699951,1655.099976,1659.5,1659.5,0
5/20/91,NA,NA,NA,NA,NA,NA
5/21/91,1659.5,1675.900024,1659.5,1675.900024,1675.900024,0
5/22/91,1676.199951,1694.599976,1676.199951,1689.400024,1689.400024,0
5/23/91,1690.599976,1700,1688.199951,1692.400024,1692.400024,0
5/24/91,1691.400024,1694,1683.400024,1691.900024,1691.900024,0
5/27/91,1692,1710,1692,1710,1710,0
5/28/91,1710.599976,1725.5,1710.599976,1723.5,1723.5,0
5/29/91,1723.199951,1735.300049,1712.900024,1717.099976,1717.099976,0
5/30/91,1717.699951,1719.5,1707.400024,1714.699951,1714.699951,0
5/31/91,1715.099976,1749,1715.099976,1740.800049,1740.800049,0
6/3/91,1740.199951,1745.300049,1727.5,1733,1733,0
6/4/91,1732.400024,1732.400024,1720.699951,1723.199951,1723.199951,0
6/5/91,1723,1735.400024,1722.900024,1730.199951,1730.199951,0
6/6/91,1730.199951,1732.5,1715.199951,1723.599976,1723.599976,0
6/7/91,1723.300049,1726,1718.599976,1723.599976,1723.599976,0
6/10/91,1722.400024,1722.400024,1707.900024,1712.599976,1712.599976,0
6/11/91,1712.699951,1729.199951,1712.699951,1717.599976,1717.599976,0
6/12/91,1717.599976,1718.599976,1697.800049,1699,1699,0
6/13/91,1698.199951,1703.900024,1687.699951,1688.599976,1688.599976,0
6/14/91,1688.800049,1713.099976,1688.800049,1710.900024,1710.900024,0
6/17/91,1711.199951,1724.699951,1711.199951,1722,1722,0
6/18/91,1721.900024,1724.5,1717.5,1723.5,1723.5,0
6/19/91,1723.099976,1723.199951,1707.900024,1708.099976,1708.099976,0
6/20/91,1707.599976,1711,1698.400024,1706.199951,1706.199951,0
6/21/91,1706.400024,1715.400024,1706.400024,1713.300049,1713.300049,0
6/24/91,1713.199951,1713.199951,1690.199951,1693.400024,1693.400024,0
6/25/91,1692.300049,1699,1686,1694.5,1694.5,0
6/26/91,1694.5,1701.599976,1685.900024,1686.5,1686.5,0
6/27/91,1686.400024,1686.400024,1672.400024,1677,1677,0
6/28/91,1675.5,1675.599976,1658.699951,1664.300049,1664.300049,0
7/1/91,1665.5,1685.699951,1665.5,1678.099976,1678.099976,0
7/2/91,1678.300049,1692.300049,1678.300049,1688.5,1688.5,0
7/3/91,1688.300049,1692.5,1675.699951,1678.599976,1678.599976,0
7/4/91,1678.599976,1686.5,1678.599976,1684.099976,1684.099976,0
7/5/91,1684.300049,1692.5,1681.400024,1686.599976,1686.599976,0
7/8/91,1685.400024,1685.400024,1667.5,1671.599976,1671.599976,0
7/9/91,1671.900024,1685.099976,1671.900024,1682.900024,1682.900024,0
7/10/91,1683.099976,1705.800049,1683.099976,1703.599976,1703.599976,0
7/11/91,1703.5,1706,1694.300049,1697.5,1697.5,0
7/12/91,1697.800049,1716.400024,1697.800049,1716.300049,1716.300049,0
7/15/91,1716.5,1730,1716.5,1723.800049,1723.800049,0
7/16/91,1724.400024,1732.699951,1724.400024,1730.5,1730.5,0
